timestamp,url,strategy,performance_score,fcp,lcp,cls,speed_index,tbt
2026-09-22T19:43:34,https://penunggul.desa.id,mobile,66,2.7 s,4.7 s,0,12.5 s,220 ms
2026-09-22T19:43:57,https://penunggul.desa.id,desktop,91,0.7 s,0.9 s,0.001,3.2 s,60 ms
2026-09-22T20:05:55,https://penunggul.desa.id,mobile,69,2.8 s,4.7 s,0,12.8 s,30 ms
2026-09-22T20:06:16,https://penunggul.desa.id,desktop,93,0.7 s,0.9 s,0,2.5 s,70 ms
2026-09-23T09:41:58,https://penunggul.desa.id,mobile,69,2.7 s,4.8 s,0,4.4 s,320 ms
2026-09-23T09:42:18,https://penunggul.desa.id,desktop,94,0.7 s,1.0 s,0,1.5 s,150 ms
2026-09-23T10:32:39,https://penunggul.kim.id,mobile,51,2.6 s,9.4 s,0.238,7.2 s,140 ms
2026-09-23T10:33:12,https://penunggul.kim.id,desktop,83,0.8 s,2.1 s,0.005,2.6 s,0 ms
2026-09-23T10:33:46,https://penunggul.desa.id,mobile,28,4.6 s,8.6 s,0,9.8 s,"7,380 ms"
2026-09-23T10:34:16,https://penunggul.desa.id,desktop,78,0.6 s,1.2 s,0,2.0 s,360 ms
2026-09-23T10:34:45,https://penunggul.kim.id/berita/read/desa-penunggul-raih-juara-harapan-180957-351421201001,mobile,60,2.9 s,11.0 s,0.16,4.7 s,80 ms
2026-09-23T10:35:13,https://penunggul.kim.id/berita/read/desa-penunggul-raih-juara-harapan-180957-351421201001,desktop,81,0.8 s,2.4 s,0.117,1.5 s,0 ms
2026-09-23T10:35:43,https://penunggul.kim.id/berita/read/penunggul-bersholawat-meriahkan-per80693-351421201001,mobile,59,2.4 s,11.3 s,0.167,6.3 s,10 ms
2026-09-23T10:36:10,https://penunggul.kim.id/berita/read/penunggul-bersholawat-meriahkan-per80693-351421201001,desktop,78,0.6 s,2.7 s,0.141,1.6 s,0 ms
2026-09-23T10:36:39,https://penunggul.kim.id/berita/read/desa-penunggul-ikuti-lomba-kampung-80754-351421201001,mobile,70,3.2 s,6.4 s,0.001,4.0 s,10 ms
2026-09-23T10:37:07,https://penunggul.kim.id/berita/read/desa-penunggul-ikuti-lomba-kampung-80754-351421201001,desktop,86,0.8 s,1.7 s,0.141,1.5 s,0 ms
2026-09-23T10:37:35,https://penunggul.kim.id/berita/read/gebyar-seni-budaya-desa-penunggul-h80972-351421201001/0,mobile,61,3.1 s,7.5 s,0.164,4.3 s,40 ms
2026-09-23T10:38:05,https://penunggul.kim.id/berita/read/gebyar-seni-budaya-desa-penunggul-h80972-351421201001/0,desktop,85,0.8 s,1.9 s,0.13,1.6 s,0 ms
